id,programaAdmicion,edadIngreso,graduado,retiradoPorBajoRendimiento,totalBajosRendimientos,ciudad,sexo,condicionEx,jornada,CantidadSemestres,proSemestral,ingenieria,ciencias,otrasMaterias,creditosAprobados,creditosReprobados,materiasCanceladas,materiasHabilitadas,BajoRendimiento
38,0,18,1,NO,0.0,1,F,0,DIU,8,3.918181818181819,4.284210526315789,3.0531249999999996,4.507142857142857,0.8067226890756303,0.14285714285714285,0.05128205128205128,0.07692307692307693,0
113,1,20,0,NO,0.0,0,M,0,DIU,1,3.9,3.9749999999999996,3.9,3.8000000000000007,1.0,0.0,0.0,0.0,0
154,0,18,1,NO,1.0,0,F,0,NOC,8,3.4175000000000004,3.5230769230769234,3.1857142857142855,4.328571428571428,0.7777777777777778,0.09523809523809523,0.1282051282051282,0.02564102564102564,1
158,1,22,0,NO,0.0,1,F,0,DIU,2,4.035,4.085714285714286,3.9,4.050000000000001,0.48484848484848486,0.0,0.5384615384615384,0.0,0
224,0,21,0,NO,1.0,0,M,0,NOC,2,2.31,3.4000000000000004,1.625,3.5499999999999994,0.5714285714285714,0.35714285714285715,0.09090909090909091,0.0,1
238,0,21,0,NO,2.0,1,M,1,NOC,5,3.3900000000000006,3.364705882352941,1.0,3.7294117647058824,0.2926829268292683,0.17073170731707318,0.48,0.0,1
240,1,17,0,NO,1.0,1,M,0,DIU,2,1.8499999999999999,2.3466666666666667,1.2999999999999998,1.2,0.2972972972972973,0.6216216216216216,0.08333333333333333,0.0,1
242,1,17,0,NO,0.0,0,M,0,DIU,2,3.8,3.825,3.0,4.3,0.45,0.0,0.5384615384615384,0.0,0
330,0,17,1,NO,2.0,0,F,0,DIU,8,3.474,3.923809523809524,2.731578947368421,4.3545454545454545,0.6956521739130435,0.16666666666666666,0.13333333333333333,0.08888888888888889,1
360,0,19,0,NO,1.0,0,M,0,NOC,2,2.45,3.1,2.245,3.0,0.5925925925925926,0.4074074074074074,0.0,0.1,1
464,0,17,0,NO,1.0,0,F,0,NOC,4,3.122,3.757142857142857,2.868571428571428,3.409090909090909,0.6714285714285714,0.18571428571428572,0.125,0.125,1
467,1,27,0,NO,1.0,1,M,0,DIU,1,3.68,3.6333333333333333,0.0,3.7999999999999994,0.4090909090909091,0.0,0.5714285714285714,0.0,1
468,0,16,1,NO,0.0,1,F,0,NOC,7,4.351428571428571,4.414035087719299,3.92,4.7176470588235295,0.908256880733945,0.03669724770642202,0.05555555555555555,0.027777777777777776,0
469,0,21,0,NO,1.0,0,M,0,NOC,1,0.98,0.9,0.0,1.1,0.0,0.4666666666666667,0.4,0.0,1
481,0,18,0,SI,1.0,0,F,0,NOC,1,1.3,1.0,1.0,2.5,0.0,1.0,0.0,0.0,1
545,1,24,1,NO,1.0,0,M,0,DIU,6,3.34,3.1,4.3,0.0,1.0,0.0,0.0,0.0,1
556,1,16,0,NO,0.0,1,M,0,DIU,12,3.352307692307692,3.5124087591240873,2.823529411764706,3.97,0.7453703703703703,0.16203703703703703,0.058823529411764705,0.014705882352941176,0
562,0,17,0,SI,1.0,0,M,0,DIU,1,1.58,1.35,0.0,1.7999999999999998,0.17647058823529413,0.8235294117647058,0.0,0.0,1
570,0,18,0,NO,0.0,0,F,0,DIU,1,3.8,3.9,0.0,3.75,1.0,0.0,0.0,0.0,0
606,1,17,1,NO,0.0,0,M,0,DIU,10,4.636666666666667,4.641025641025641,0.0,0.0,1.0,0.0,0.0,0.0,0
650,0,22,0,NO,3.0,1,M,0,NOC,2,2.935,2.5,0.0,2.8666666666666663,0.4,0.35,0.25,0.0,1
652,1,24,0,NO,1.0,0,M,1,DIU,2,2.8499999999999996,2.5666666666666664,1.0,2.5090909090909093,0.37142857142857144,0.3142857142857143,0.2727272727272727,0.0,1
663,0,17,0,NO,2.0,0,M,0,NOC,5,1.8900000000000001,3.4200000000000004,0.5142857142857142,1.8,0.3181818181818182,0.6818181818181818,0.0,0.0,1
682,1,18,0,NO,2.0,0,F,0,DIU,6,3.0157142857142856,3.0810810810810816,1.9708333333333332,3.9411764705882355,0.5568181818181818,0.36363636363636365,0.07407407407407407,0.037037037037037035,1
697,0,22,1,NO,0.0,0,F,0,NOC,7,3.7566666666666664,3.788888888888889,0.0,3.2000000000000006,0.9285714285714286,0.0,0.07142857142857142,0.0,0
719,1,20,0,NO,0.0,1,M,0,DIU,3,3.835,3.93076923076923,3.675,0.0,0.3333333333333333,0.0,0.6470588235294118,0.0,0
762,0,17,0,NO,3.0,1,M,0,NOC,2,2.515,2.6,2.4176470588235293,3.1,0.36666666666666664,0.43333333333333335,0.25,0.0,1
802,1,21,0,NO,0.0,0,M,0,DIU,7,3.7128571428571426,3.9311111111111114,2.841176470588235,3.1999999999999997,0.782608695652174,0.043478260869565216,0.17777777777777778,0.022222222222222223,0
832,0,18,1,NO,0.0,0,M,0,NOC,7,3.36125,3.4428571428571435,3.107142857142857,3.6,0.967032967032967,0.03296703296703297,0.0,0.03333333333333333,0
883,0,17,0,NO,1.0,1,M,0,NOC,4,2.5775,2.468571428571429,1.65,3.7,0.5555555555555556,0.3888888888888889,0.058823529411764705,0.0,1
907,1,16,0,SI,1.0,1,M,0,DIU,1,1.67,1.475,1.0,2.05,0.0,0.3888888888888889,0.5,0.0,1
971,0,17,0,NO,0.0,0,M,0,DIU,3,3.2266666666666666,3.9777777777777774,3.068,3.4909090909090916,0.78,0.12,0.1111111111111111,0.1111111111111111,0
980,0,23,0,NO,2.0,1,M,0,DIU,3,2.0666666666666664,1.9866666666666668,1.75,2.3333333333333335,0.22,0.72,0.06666666666666667,0.0,1
1026,0,34,0,NO,1.0,0,M,0,NOC,7,2.435,1.8700000000000003,0.0,0.0,0.1891891891891892,0.1891891891891892,0.6363636363636364,0.09090909090909091,1
1121,0,18,0,SI,1.0,0,F,0,DIU,1,2.16,1.65,2.323076923076923,0.0,0.3,0.55,0.2222222222222222,0.0,1
1317,1,18,0,NO,0.0,0,F,0,DIU,10,4.23111111111111,4.235714285714285,3.9333333333333336,4.3549999999999995,0.8770949720670391,0.0,0.06896551724137931,0.0,0
1331,0,20,1,NO,0.0,0,F,0,NOC,8,4.13,4.133333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0
1334,1,18,0,NO,2.0,0,M,0,DIU,3,3.2566666666666664,3.358333333333333,3.176470588235294,3.0,0.5064935064935064,0.05194805194805195,0.46153846153846156,0.0,1
1371,0,24,0,NO,1.0,0,M,0,NOC,5,2.7,2.41,1.0,3.7000000000000006,0.2647058823529412,0.11764705882352941,0.6,0.0,1
1397,0,19,0,NO,1.0,1,M,0,DIU,9,3.7662500000000003,3.7,3.2666666666666666,4.166666666666667,0.7325581395348837,0.06976744186046512,0.21428571428571427,0.07142857142857142,1
1428,0,20,0,SI,2.0,0,M,0,NOC,3,1.5,1.5,0.0,0.0,0.0,1.0,0.0,0.0,1
1430,0,17,0,NO,0.0,0,F,0,DIU,5,4.2540000000000004,4.427777777777777,3.8230769230769233,4.6499999999999995,0.6568627450980392,0.0,0.3333333333333333,0.0,0
1477,1,19,0,NO,0.0,0,M,0,DIU,8,3.446,3.7075949367088605,2.6411764705882357,3.1666666666666665,0.6712328767123288,0.0958904109589041,0.22448979591836735,0.04081632653061224,0
1561,0,17,0,NO,1.0,0,M,0,NOC,1,1.73,1.675,2.4,1.0,0.13333333333333333,0.8666666666666667,0.0,0.0,1
1647,1,18,0,NO,0.0,0,M,0,DIU,1,3.37,2.1,0.0,3.1500000000000004,0.3888888888888889,0.0,0.5,0.0,0
1716,0,17,1,NO,0.0,0,F,0,NOC,7,4.31,4.501538461538461,3.7999999999999994,3.6636363636363636,1.0,0.0,0.0,0.0,0
1717,0,17,1,NO,1.0,0,F,0,NOC,8,3.388888888888889,3.4600000000000004,3.423076923076923,3.4099999999999993,0.7608695652173914,0.15217391304347827,0.09523809523809523,0.047619047619047616,1
1732,0,22,0,NO,1.0,0,F,0,NOC,1,2.54,4.2,2.3,2.7000000000000006,0.17647058823529413,0.8235294117647058,0.0,0.3333333333333333,1
1777,0,19,0,NO,1.0,0,M,0,NOC,2,2.4966666666666666,3.4857142857142853,2.0,2.6999999999999997,0.38461538461538464,0.4230769230769231,0.2222222222222222,0.2222222222222222,1
1782,1,19,0,NO,0.0,0,M,0,DIU,1,3.58,3.425,0.0,3.8000000000000007,0.7777777777777778,0.0,0.16666666666666666,0.0,0
1806,1,21,0,NO,0.0,0,M,0,DIU,4,3.5225,3.8967741935483864,3.0352941176470587,4.0,0.7142857142857143,0.03896103896103896,0.2222222222222222,0.0,0
1813,1,18,0,NO,0.0,0,M,0,DIU,1,2.88,2.35,0.0,1.8,0.2777777777777778,0.1111111111111111,0.5,0.0,0
1819,0,17,1,NO,0.0,1,M,0,DIU,6,3.33375,3.9152542372881354,3.0388888888888888,3.894117647058824,0.8205128205128205,0.1623931623931624,0.02564102564102564,0.15384615384615385,0
1821,0,23,0,NO,2.0,0,F,0,NOC,2,3.09,3.1333333333333333,3.0500000000000003,0.0,0.4838709677419355,0.0,0.5454545454545454,0.0,1
1844,0,19,0,NO,2.0,1,F,0,NOC,10,3.264545454545454,3.955813953488372,2.734090909090909,3.9357142857142855,0.6212121212121212,0.19696969696969696,0.18181818181818182,0.09090909090909091,1
1871,1,17,0,NO,0.0,0,M,0,DIU,4,3.0149999999999997,3.046666666666667,2.5772727272727276,3.6181818181818177,0.6027397260273972,0.1780821917808219,0.21739130434782608,0.0,0
1985,0,18,0,NO,2.0,0,M,0,DIU,2,3.115,4.05,2.7350000000000003,3.9499999999999997,0.5625,0.4375,0.0,0.08333333333333333,1
2029,1,16,1,NO,0.0,0,M,0,DIU,13,3.6879999999999997,3.6117117117117123,3.0649999999999995,3.7000000000000006,0.8590604026845637,0.087248322147651,0.061224489795918366,0.0,0
2068,0,19,0,NO,3.0,0,M,0,NOC,3,2.3233333333333337,2.0666666666666664,1.65,3.1363636363636362,0.3225806451612903,0.6774193548387096,0.0,0.0,1
2075,0,28,0,NO,0.0,0,F,0,DIU,1,3.38,4.2,2.35,3.2000000000000006,0.38095238095238093,0.0,0.625,0.125,0
2110,1,18,0,NO,0.0,1,M,0,DIU,5,3.3839999999999995,3.241176470588235,3.0,3.8470588235294114,0.6477272727272727,0.11363636363636363,0.25,0.0,0
2211,1,17,0,NO,1.0,0,M,0,DIU,2,1.9649999999999999,1.8666666666666665,1.15,2.8181818181818183,0.3870967741935484,0.6129032258064516,0.0,0.0,1
2222,0,17,0,SI,1.0,0,M,0,DIU,1,1.0,2.15,0.0,0.5909090909090909,0.0,1.0,0.0,0.0,1
2296,1,26,1,NO,0.0,1,M,0,DIU,3,3.9433333333333334,4.1722222222222225,2.0,0.0,0.4186046511627907,0.06976744186046512,0.5384615384615384,0.0,0
2348,0,19,0,SI,2.0,0,M,0,NOC,1,1.88,3.3,1.3375,2.15,0.375,0.625,0.0,0.0,1
2410,1,17,1,NO,0.0,0,F,0,DIU,10,4.222999999999999,4.220661157024793,3.8416666666666663,4.365,0.9101123595505618,0.02247191011235955,0.05263157894736842,0.0,0
2414,1,17,0,NO,1.0,0,M,1,DIU,1,1.61,1.5499999999999998,1.3,2.2,0.0,0.8333333333333334,0.16666666666666666,0.0,1
2433,0,26,0,NO,2.0,0,M,0,NOC,3,2.3866666666666667,2.4600000000000004,1.0,3.033333333333333,0.42857142857142855,0.5714285714285714,0.0,0.0,1
2460,0,22,0,NO,2.0,0,F,0,NOC,3,2.5533333333333332,1.9722222222222223,1.0,3.090909090909091,0.2826086956521739,0.43478260869565216,0.26666666666666666,0.0,1
2469,0,19,0,NO,2.0,0,M,0,NOC,1,2.59,1.6,0.0,3.25,0.3,0.7,0.0,0.0,1
2492,0,23,0,NO,0.0,1,M,1,NOC,6,3.908333333333333,3.978260869565217,3.982142857142857,3.542857142857143,0.8627450980392157,0.0,0.14285714285714285,0.0,0
2530,1,20,0,NO,0.0,0,M,0,DIU,3,3.1733333333333333,3.321739130434783,2.925,2.9285714285714284,0.8245614035087719,0.05263157894736842,0.1111111111111111,0.1111111111111111,0
2541,0,18,1,NO,0.0,0,F,0,NOC,7,3.8437499999999996,4.26140350877193,3.3125,4.307142857142857,0.9320388349514563,0.06796116504854369,0.0,0.0,0
2675,0,23,0,NO,2.0,0,M,0,NOC,11,2.3466666666666667,2.45,0.0,1.7,0.4722222222222222,0.3333333333333333,0.18181818181818182,0.0,1
2681,0,18,0,NO,1.0,0,M,0,DIU,3,4.196666666666666,4.411111111111111,4.104000000000001,4.081818181818182,1.0,0.0,0.0,0.0,1
2698,1,19,0,NO,0.0,0,M,0,DIU,5,3.482,3.572340425531915,3.0538461538461537,3.72,0.8571428571428571,0.061224489795918366,0.09375,0.0,0
2704,0,16,0,NO,0.0,0,F,0,NOC,2,3.505,3.7625,3.0,3.4625000000000004,1.0,0.0,0.0,0.0,0
2710,0,17,0,NO,0.0,0,F,0,NOC,2,3.6,3.75,3.6,3.2999999999999994,0.7931034482758621,0.0,0.18181818181818182,0.0,0
2762,0,18,0,NO,1.0,0,F,0,NOC,9,3.0500000000000003,3.0285714285714285,3.142857142857143,0.0,0.6774193548387096,0.22580645161290322,0.1111111111111111,0.0,1
2836,0,18,0,NO,2.0,0,M,1,NOC,3,2.665,2.386666666666667,1.95,3.35,0.4634146341463415,0.5365853658536586,0.0,0.07142857142857142,1
2886,0,16,0,NO,2.0,0,M,0,NOC,6,3.231666666666666,3.026530612244898,3.092857142857143,4.136363636363637,0.7,0.225,0.07692307692307693,0.0,1
2902,1,19,0,NO,0.0,0,M,0,DIU,3,3.3733333333333335,2.9,3.66,3.8285714285714283,0.7659574468085106,0.0851063829787234,0.13333333333333333,0.06666666666666667,0
2923,0,17,1,NO,0.0,0,F,0,DIU,6,4.266666666666667,4.335087719298245,3.775999999999999,4.742857142857142,1.0,0.0,0.0,0.0,0
2971,0,19,1,NO,0.0,0,F,0,NOC,9,3.837142857142857,4.058461538461539,3.4000000000000004,3.6333333333333337,0.9666666666666667,0.03333333333333333,0.0,0.0,0
3005,0,18,0,NO,2.0,0,M,0,DIU,4,2.5875000000000004,2.603846153846154,0.85,3.9909090909090907,0.41935483870967744,0.3064516129032258,0.2631578947368421,0.0,1
3011,0,17,0,NO,0.0,0,M,0,DIU,3,3.3000000000000003,2.8818181818181823,1.9,3.6636363636363636,0.6585365853658537,0.17073170731707318,0.14285714285714285,0.0,0
3012,0,17,0,NO,2.0,0,M,0,DIU,3,2.33,2.52,1.7,3.4454545454545453,0.5,0.5,0.0,0.08333333333333333,1
3013,1,23,1,NO,0.0,0,M,0,DIU,4,4.553333333333334,4.491666666666667,3.7,0.0,0.35,0.0,0.4,0.0,0
3060,0,19,0,NO,2.0,0,M,0,NOC,2,2.42,2.56,1.0,3.3599999999999994,0.12903225806451613,0.4838709677419355,0.36363636363636365,0.0,1
3075,0,19,1,NO,0.0,0,M,0,NOC,7,3.3716666666666666,3.350746268656717,2.9642857142857144,3.7181818181818183,0.9166666666666666,0.08333333333333333,0.0,0.03225806451612903,0
3082,0,24,0,NO,1.0,0,F,1,NOC,2,1.7950000000000002,2.7,1.7692307692307692,2.05,0.391304347826087,0.6086956521739131,0.0,0.0,1
3101,0,19,1,NO,0.0,0,M,0,DIU,6,3.478571428571428,3.636507936507937,3.142857142857143,3.4928571428571433,0.9578947368421052,0.042105263157894736,0.0,0.06451612903225806,0
3112,0,17,0,NO,2.0,1,M,0,DIU,2,2.705,3.1714285714285717,2.255,3.5400000000000005,0.53125,0.46875,0.0,0.16666666666666666,1
3148,0,17,0,NO,0.0,0,M,0,NOC,2,3.85,4.15,0.0,3.65,0.45454545454545453,0.0,0.5,0.0,0
3193,0,16,0,NO,2.0,0,M,0,NOC,2,2.6950000000000003,2.925,2.585714285714286,2.9000000000000004,0.3793103448275862,0.41379310344827586,0.2,0.0,1
3224,0,19,0,NO,0.0,1,M,0,NOC,4,4.5125,4.613333333333332,4.492000000000001,4.5,0.9107142857142857,0.0,0.1,0.0,0
3285,0,27,0,NO,1.0,0,F,0,NOC,1,1.63,1.8,1.5,1.8999999999999997,0.0,1.0,0.0,0.0,1
3293,1,21,0,NO,0.0,0,M,0,DIU,3,4.109999999999999,4.129166666666666,3.814285714285714,4.533333333333333,0.746031746031746,0.0,0.22727272727272727,0.0,0
3400,1,16,1,NO,0.0,0,M,0,DIU,10,4.512222222222222,4.541379310344827,4.375000000000001,4.495,1.0,0.0,0.0,0.0,0
3416,0,18,0,NO,1.0,1,M,0,NOC,3,2.3875,2.6222222222222222,1.42,2.233333333333333,0.3170731707317073,0.4634146341463415,0.21428571428571427,0.07142857142857142,1
3423,0,17,0,NO,0.0,1,M,0,DIU,3,3.28,4.283333333333334,2.569565217391304,4.036363636363637,0.7959183673469388,0.14285714285714285,0.058823529411764705,0.058823529411764705,0
